RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1173485,4137,2017-03-12 10:55:10-05:00,5.0,9044.0,14.3,10,Sunday,8-11,2017,3
1173528,2364,2017-03-12 10:56:10-05:00,5.0,4223.0,10.2,10,Sunday,8-11,2017,3
1173549,1991,2017-03-12 11:02:03-05:00,5.0,1985.0,7.15,11,Sunday,8-11,2017,3
1173582,846,2017-03-12 11:03:04-05:00,5.0,2860.0,10.2,11,Sunday,8-11,2017,3
1173601,1570,2017-03-12 11:02:10-05:00,5.0,3769.0,10.42,11,Sunday,8-11,2017,3
1173613,654,2017-03-12 11:01:36-05:00,5.0,10158.0,15.76,11,Sunday,8-11,2017,3
1173620,1636,2017-03-12 10:59:41-05:00,5.0,3007.0,9.18,10,Sunday,8-11,2017,3
1173638,4008,2017-03-12 11:05:06-05:00,5.0,1182.0,8.08,11,Sunday,8-11,2017,3
1173689,1991,2017-03-12 11:11:00-05:00,4.0,1782.0,8.08,11,Sunday,8-11,2017,3
1173741,846,2017-03-12 11:15:01-05:00,5.0,1768.0,8.08,11,Sunday,8-11,2017,3
1173755,2456,2017-03-12 11:15:20-05:00,5.0,3377.0,10.56,11,Sunday,8-11,2017,3
1173777,4008,2017-03-12 11:16:35-05:00,5.0,25773.0,35.37,11,Sunday,8-11,2017,3
1173798,4137,2017-03-12 11:20:04-05:00,5.0,3398.0,13.47,11,Sunday,8-11,2017,3
1173807,458,2017-03-12 11:15:51-05:00,5.0,1123.0,8.08,11,Sunday,8-11,2017,3
1173833,1991,2017-03-12 11:22:02-05:00,5.0,1166.0,8.08,11,Sunday,8-11,2017,3
1173864,654,2017-03-12 11:24:21-05:00,5.0,2035.0,9.23,11,Sunday,8-11,2017,3
1173906,153,2017-03-12 11:23:52-05:00,5.0,4603.0,12.23,11,Sunday,8-11,2017,3
1173923,2312,2017-03-12 11:25:25-05:00,5.0,5235.0,12.36,11,Sunday,8-11,2017,3
1173944,3283,2017-03-12 11:29:46-05:00,4.0,10793.0,19.01,11,Sunday,8-11,2017,3
1173948,2456,2017-03-12 11:29:55-05:00,5.0,20061.0,28.89,11,Sunday,8-11,2017,3
1173960,3402,2017-03-12 11:30:07-05:00,5.0,10450.0,18.29,11,Sunday,8-11,2017,3
1173984,2170,2017-03-12 11:24:59-05:00,4.0,13834.0,21.76,11,Sunday,8-11,2017,3
